"BUDGET FISCAL YEAR","FTYP","FUNDTYPE","APPR","APPROPRIATION","Service Number","SERVICE","OBJECTGROUP","EXPENDITURE CLASSIFICATION","CURRENT BUDGET","ENCUMBRANCE","EXPENSES","ENCUMB&EXPENSE"
"2 016","GNFD","General Fund","0001DPD","Police Department GF","1.21","Police Administrative Support","RC","Capital Outlay","0","0","7 979","7 979"
"2 016","GNFD","General Fund","0001EBS","Building Services GF","1.32","Security Service for City Facilities","RE","Reimbursements","(436 425)","0","(1 116 805,62)","(1 116 805,62)"
"2 016","GNFD","General Fund","0001PBW","Public Works GF","5.43","Land Surveying Services","PS","Personnel Services","645 554","0","721 273,83","721 273,83"
"2 016","GNFD","General Fund","0001TWM","Trinity Watershed Management GF","2.4900000000000002","Trinity River Corridor Operations","RC","Capital Outlay","25 241","0","36 741,8","36 741,8"
"2 016","GNFD","General Fund","0001CTS","Court and Detention Services GF","3.15","Illegal Dump Team - Criminal Investigations and Arrests","RE","Reimbursements","(913 180)","0","(913 180)","(913 180)"
"2 016","EFOP","Enterprise Operating Fund","0100DWU","Water Utilities DWU","5.53","Vital Statistics","PS","Personnel Services","623 708","0","572 851,96","572 851,96"
"2 016","EFOP","Enterprise Operating Fund","0100DWU","Water Utilities DWU","3.26","Water Conservation","PS","Personnel Services","847 315","0","952 999,1","952 999,1"
"2 016","INSV","Internal Service Fund","0198DSV","Information Technology DSV","5.Q","Strategic Technology Management","RE","Reimbursements","(2 338 364)","0","(1 643 102,56)","(1 643 102,56)"
"2 016","EFOP","Enterprise Operating Fund","0100DWU","Water Utilities DWU","9.99","Department Support","PS","Personnel Services","2 426 857","0","2 586 673,81","2 586 673,81"
"2 016","GNFD","General Fund","0001CTS","Court and Detention Services GF","3.15","Illegal Dump Team - Criminal Investigations and Arrests","PS","Personnel Services","809 023","0","802 569,18","802 569,18"
"2 016","GNFD","General Fund","0001CVS","Civil Service GF","5.05","Applicant Processing - Civilian","QV","Contractual & Other Services","96 269","0","173 279,6","173 279,6"
"2 016","EFOP","Enterprise Operating Fund","0100DWU","Water Utilities DWU","2.5299999999999998","Water Production and Delivery","PS","Personnel Services","33 244 929","0","35 056 284,2","35 056 284,2"
"2 016","GNFD","General Fund","0001HOU","Housing GF","5.37","Housing Management/Contract Support","RE","Reimbursements","(131 353)","0","(36 753,13)","(36 753,13)"
"2 016","GNFD","General Fund","0001EBS","Building Services GF","2.0299999999999998","Bullington Truck Terminal and Thanksgiving Square","QM","Supplies & Materials","193 158","0","70 417,84","70 417,84"
"2 016","GNFD","General Fund","0001PKR","Park and Recreation GF","9.99","Department Support","QV","Contractual & Other Services","0","0","2 362,33","2 362,33"
"2 016","INSV","Internal Service Fund","0196EBS","Equipment Services EBS","5.D","City Fleet Asset Management","PS","Personnel Services","1 119 996","0","1 079 983,85","1 079 983,85"
"2 016","EFOP","Enterprise Operating Fund","0061SDM","Storm Drainage Mgmt Operations","3.21","Storm Drainage Management Fund","QM","Supplies & Materials","0","0","4 171,46","4 171,46"
"2 016","GNFD","General Fund","0001PER","Human Resources GF","9.99","Department Support","QV","Contractual & Other Services","0","0","1 523,58","1 523,58"
"2 016","GNFD","General Fund","0001CVS","Civil Service GF","5.2","Civil Service Board Administration/Employee Appeals Process","QM","Supplies & Materials","2 397","0","2 657,82","2 657,82"
"2 016","GNFD","General Fund","0001PKR","Park and Recreation GF","4.12","Recreation Services","RE","Reimbursements","(1 025 000)","0","(1 198 136,06)","(1 198 136,06)"
"2 016","GNFD","General Fund","0001DPD","Police Department GF","1.26","Police Investigation of Vice Related Crimes","PS","Personnel Services","3 482 967","0","3 760 298,82","3 760 298,82"
"2 016","GNFD","General Fund","0001CVS","Civil Service GF","5.0599999999999996","Applicant Processing - Uniform","QV","Contractual & Other Services","56 096","0","20 926,14","20 926,14"
"2 016","GNFD","General Fund","0001ATT","City Attorney's Office GF","3.13","Environ Enforcement, Compliance, and Support (Legal Service)","QV","Contractual & Other Services","13 485","0","3 658,75","3 658,75"
"2 016","GNFD","General Fund","0001ELE","Elections","5.27","Elections","PS","Personnel Services","87 864","0","87 392,29","87 392,29"
"2 016","GNFD","General Fund","0001CCS","Code Compliance GF","3.12","Dallas Animal Services","RE","Reimbursements","0","0","(13 988)","(13 988)"
"2 016","GNFD","General Fund","0001SEC","City Secretary's Office GF","5.07","Archives","QV","Contractual & Other Services","18 342","0","4 285,32","4 285,32"
"2 016","GNFD","General Fund","0001SEC","City Secretary's Office GF","5.0999999999999996","Boards and Commissions Support","QV","Contractual & Other Services","83 404","0","12 927,17","12 927,17"
"2 016","GNFD","General Fund","0001PBW","Public Works GF","3.23","Underground Storage Tank Replacement and Inspection","QV","Contractual & Other Services","42 534","0","35 795,08","35 795,08"
"2 016","GNFD","General Fund","0001DFD","Dallas Fire Rescue GF","9.99","Department Support","PS","Personnel Services","2 885 660","0","3 450 664,95","3 450 664,95"
"2 016","GNFD","General Fund","0001STS","Street Services GF","2.44","Street Repair Division - Concrete","TR","Transfers Out","6 332 000","0","6 320 000","6 320 000"
"2 016","GNFD","General Fund","0001CCS","Code Compliance GF","2.36","Regulation and Enforcement of For Hire Transportation","RE","Reimbursements","(168 168)","0","(147 402,46)","(147 402,46)"
"2 016","EFOP","Enterprise Operating Fund","0080CCT","Convention Center CCT","2.5","Union Station","QM","Supplies & Materials","367 000","0","287 733,77","287 733,77"
"2 016","GNFD","General Fund","0001DFD","Dallas Fire Rescue GF","1.08","EMS Administration, Contracts, and Community Health","PS","Personnel Services","11 767 217","0","6 047 090,59","6 047 090,59"
"2 016","GNFD","General Fund","0001ATT","City Attorney's Office GF","3.13","Environ Enforcement, Compliance, and Support (Legal Service)","RE","Reimbursements","(96 308)","0","(73 578,13)","(73 578,13)"
"2 016","GNFD","General Fund","0001AGE","Mgmt Services - Council Agenda","5.15","City Agenda Process","QV","Contractual & Other Services","8 667","0","7 945,28","7 945,28"
"2 016","EFOP","Enterprise Operating Fund","0100DWU","Water Utilities DWU","5.55","Water Utilities Customer Account Services","PS","Personnel Services","14 282 208","0","14 764 956,08","14 764 956,08"
"2 016","GNFD","General Fund","0001CCO","City Controller's Office GF","5.47","Payroll","QM","Supplies & Materials","8 476","0","4 934,33","4 934,33"
"2 016","GNFD","General Fund","0001PER","Human Resources GF","5.39","Human Resource Consulting","PS","Personnel Services","1 969 179","0","1 959 423,44","1 959 423,44"
"2 016","GNFD","General Fund","0001CTJ","Judiciary GF","1.03","Civil Adjudication Court","QV","Contractual & Other Services","2 065","0","620","620"
"2 016","GNFD","General Fund","0001SEC","City Secretary's Office GF","5.23","Customer Service","QV","Contractual & Other Services","32 745","0","4 339,61","4 339,61"
"2 016","GNFD","General Fund","0001HOU","Housing GF","5.37","Housing Management/Contract Support","PS","Personnel Services","794 687","0","936 631,54","936 631,54"
"2 016","GNFD","General Fund","0001BAC","Mgmt Services - Boards and Commissions","5.09","Boards and Commissions Liaison","QV","Contractual & Other Services","12 441","0","10 914,4","10 914,4"
"2 016","EFOP","Enterprise Operating Fund","0140OCA","Municipal Radio OCA","4.13","WRR Municipal Radio Classical Music","PS","Personnel Services","1 251 226","0","1 043 163,3","1 043 163,3"
"2 016","GNFD","General Fund","0001CCS","Code Compliance GF","3.18","Neighborhood Nuisance Abatement","RE","Reimbursements","(893 597)","0","(1 074 496,26)","(1 074 496,26)"
"2 016","EFOP","Enterprise Operating Fund","0150DEV","Sustainable Dev and Construction - Enterprise","2.2200000000000002","GIS Mapping for Private Development","QV","Contractual & Other Services","182 829","0","58 213,42","58 213,42"
"2 016","GNFD","General Fund","0001OEQ","Mgmt Services - Environmental Quaity","3.14","Environmental Quality","RE","Reimbursements","(1 878 701)","0","(1 423 946,02)","(1 423 946,02)"
"2 016","OTHO","Other Operating Fund","0278PER","Employee Benefits Administration","5.J","HR Benefits Administration Services","QV","Contractual & Other Services","436 515","0","225 384,41","225 384,41"
"2 016","EFOP","Enterprise Operating Fund","0061SDM","Storm Drainage Mgmt Operations","2.19","Flood Control","RC","Capital Outlay","50 000","0","254 420,85","254 420,85"
"2 016","GNFD","General Fund","0001CTS","Court and Detention Services GF","1.02","City Detention Center","QV","Contractual & Other Services","85 066","0","34 194,88","34 194,88"
"2 016","OTHO","Other Operating Fund","0195ORM","Office of Risk Management","5.P","Risk Management Services","RE","Reimbursements","(416 623)","0","(231 917,76)","(231 917,76)"
"2 016","GNFD","General Fund","0001STS","Street Services GF","2.44","Street Repair Division - Concrete","RE","Reimbursements","(1 975 063)","0","(6 354 503,48)","(6 354 503,48)"
"2 016","EFOP","Enterprise Operating Fund","0150DEV","Sustainable Dev and Construction - Enterprise","2.34","Private Development Survey","QV","Contractual & Other Services","78 360","0","7 958,21","7 958,21"
"2 016","GNFD","General Fund","0001CPE","Mgmt Services - Strategic Initiatives","5.13","Center for Performance Excellence","QM","Supplies & Materials","6 696","0","8 920,69","8 920,69"
"2 016","GNFD","General Fund","0001AUD","City Auditor's Office GF","5.08","Audits, Attestations and Investigations","QM","Supplies & Materials","28 140","0","29 929,24","29 929,24"
"2 016","GNFD","General Fund","0001PBW","Public Works GF","1.01","Adjudication Office","QM","Supplies & Materials","9 550","0","9 275,31","9 275,31"
"2 016","GNFD","General Fund","0001CTS","Court and Detention Services GF","1.02","City Detention Center","PS","Personnel Services","1 385 333","0","1 464 127,05","1 464 127,05"
"2 016","GNFD","General Fund","0001STS","Street Services GF","2.44","Street Repair Division - Concrete","PS","Personnel Services","8 270 145","0","7 508 236,15","7 508 236,15"
"2 016","EFOP","Enterprise Operating Fund","0150DEV","Sustainable Dev and Construction - Enterprise","9.99","Department Support","QV","Contractual & Other Services","0","0","243 143,02","243 143,02"
"2 016","GNFD","General Fund","0001DPD","Police Department GF","1.27","Police Investigations of Narcotics Related Crimes","PS","Personnel Services","12 725 207","0","13 508 065,67","13 508 065,67"
"2 016","GNFD","General Fund","0001PNV","Planning and Urban Design GF","2.3199999999999998","Planning and Design Studio","QM","Supplies & Materials","22 640","0","16 758,91","16 758,91"
"2 016","EFOP","Enterprise Operating Fund","0080CCT","Convention Center CCT","2.1","Dallas Convention Center","TR","Transfers Out","18 201 620","0","15 822 258,37","15 822 258,37"
"2 016","GNFD","General Fund","0001FHO","Mgmt Services - Fair Housing","5.31","Fair Housing and Human Rights Compliance","QV","Contractual & Other Services","23 023","0","19 900,21","19 900,21"
"2 016","EFOP","Enterprise Operating Fund","0150DEV","Sustainable Dev and Construction - Enterprise","2.4500000000000002","Subdivision Plat Review","PS","Personnel Services","455 867","0","428 077,44","428 077,44"
"2 016","GNFD","General Fund","0001OCA","Office of Cultural Affairs GF","4.1100000000000003","Public Art for Dallas","RE","Reimbursements","(266 429)","0","(176 838,22)","(176 838,22)"
"2 016","EFOP","Enterprise Operating Fund","0061SDM","Storm Drainage Mgmt Operations","3.21","Storm Drainage Management Fund","TR","Transfers Out","8 052 439","0","8 441 329,96","8 441 329,96"
"2 016","GNFD","General Fund","0001DEV","Sustainable Dev and Construction GF","2.23","Historic Preservation","PS","Personnel Services","426 814","0","486 809,64","486 809,64"
"2 016","GNFD","General Fund","0001HOU","Housing GF","3.09","Comprehensive Homeless Outreach","PS","Personnel Services","1 694 260","0","1 534 972,66","1 534 972,66"
"2 016","INSV","Internal Service Fund","0196EBS","Equipment Services EBS","5.E","City Fleet Maintenance and Repair Services","RE","Reimbursements","(353 376)","0","(266 673,95)","(266 673,95)"
"2 016","GNFD","General Fund","0001POM","Business Development & Procurement GF","5.1100000000000003","Business Inclusion & Development Compliance Monitoring","QV","Contractual & Other Services","85 562","0","50 615,97","50 615,97"
"2 016","GNFD","General Fund","0001PNV","Planning and Urban Design GF","2.27","Mobility Planning","QM","Supplies & Materials","6 200","0","18 137,81","18 137,81"
"2 016","GNFD","General Fund","0001OCA","Office of Cultural Affairs GF","4.03","Cultural Services Contracts","QM","Supplies & Materials","6 125","0","795 083,51","795 083,51"
"2 016","GNFD","General Fund","0001EBS","Building Services GF","5.29","Energy Procurement and Monitoring","QV","Contractual & Other Services","185 650","0","121 549,71","121 549,71"
"2 016","GNFD","General Fund","0001ICT","Mgmt Services - Internal Control Task Force","5.42","Internal Control Task Force","QM","Supplies & Materials","3 320","0","8 028,97","8 028,97"
"2 016","GNFD","General Fund","0001DPD","Police Department GF","9.99","Department Support","PS","Personnel Services","8 773 015","0","9 661 486,56","9 661 486,56"
"2 016","GNFD","General Fund","0001IGS","Mgmt Services - Intergovernmental Services","5.41","Intergovernmental Services","QM","Supplies & Materials","6 755","0","4 496,58","4 496,58"
"2 016","GNFD","General Fund","0001DFD","Dallas Fire Rescue GF","1.1100000000000001","Fire Investigation & Explosive Ordnance Disposal","PS","Personnel Services","3 674 697","0","3 846 895,6","3 846 895,6"
"2 016","EFOP","Enterprise Operating Fund","0150DEV","Sustainable Dev and Construction - Enterprise","2.33","Private Development Records and Archival Library","PS","Personnel Services","740 790","0","750 707,92","750 707,92"
"2 016","EFOP","Enterprise Operating Fund","0061SDM","Storm Drainage Mgmt Operations","9.99","Department Support","RE","Reimbursements","0","0","(1 583 087)","(1 583 087)"
"2 016","GNFD","General Fund","0001OCA","Office of Cultural Affairs GF","4.0199999999999996","City-Owned Cultural Venues","PS","Personnel Services","2 996 061","0","2 898 366,77","2 898 366,77"
"2 016","GNFD","General Fund","0001PNV","Planning and Urban Design GF","9.99","Department Support","QM","Supplies & Materials","17 611","0","18 360,97","18 360,97"
"2 016","INSV","Internal Service Fund","0198DSV","Information Technology DSV","5.K","Internal Computer Support","TR","Transfers Out","469 048","0","4 859 488,34","4 859 488,34"
"2 016","EFOP","Enterprise Operating Fund","0150DEV","Sustainable Dev and Construction - Enterprise","2.17","Field Inspections of Private Development Construction Sites","PS","Personnel Services","6 617 132","0","5 385 375,69","5 385 375,69"
"2 016","GNFD","General Fund","0001ATT","City Attorney's Office GF","9.99","Department Support","PS","Personnel Services","1 148 042","0","1 143 162,96","1 143 162,96"
"2 016","GNFD","General Fund","0001ICT","Mgmt Services - Internal Control Task Force","5.42","Internal Control Task Force","QV","Contractual & Other Services","16 445","0","24 181,34","24 181,34"
"2 016","INSV","Internal Service Fund","0196EBS","Equipment Services EBS","9.99","Department Support","QM","Supplies & Materials","13 450","0","23 224,34","23 224,34"
"2 016","GNFD","General Fund","0001PKR","Park and Recreation GF","4.04","Golf and Tennis Centers","PS","Personnel Services","2 972 725","0","2 741 650,26","2 741 650,26"
"2 016","GNFD","General Fund","0001EBS","Building Services GF","9.99","Department Support","QM","Supplies & Materials","800","0","509,3","509,3"
"2 016","GNFD","General Fund","0001DPD","Police Department GF","1.31","Police Special Operations","RE","Reimbursements","(11 422 336)","0","(10 973 317,37)","(10 973 317,37)"
"2 017","EFOP","Enterprise Operating Fund","0100DWU","Water Utilities DWU","3.26","Water Conservation","TR","Transfers Out","59 911","0","0","0"
"2 017","GNFD","General Fund","0001CTJ","Judiciary GF","1.04","Community Court","RE","Reimbursements","(32 275)","0","0","0"
"2 017","INSV","Internal Service Fund","0198DSV","Information Technology DSV","5.L","Internal Desktop Support","TR","Transfers Out","224 446","0","0","0"
"2 016","GNFD","General Fund","0001DPD","Police Department GF","1.21","Police Administrative Support","PS","Personnel Services","6 828 909","0","6 571 201,68","6 571 201,68"
"2 017","INSV","Internal Service Fund","0198DSV","Information Technology DSV","5.18","City GIS Services","RE","Reimbursements","(1 048 691)","0","0","0"
"2 016","GNFD","General Fund","0001DFD","Dallas Fire Rescue GF","2.1800000000000002","Fire Inspection for New Construction","QM","Supplies & Materials","13 779","0","13 401,15","13 401,15"
"2 017","GNFD","General Fund","0001OFS","Non-Departmental","5.46","Non-Departmental","RC","Capital Outlay","975 000","0","0","0"
"2 017","GNFD","General Fund","0001CCS","Code Compliance GF","3.1","Consumer Health","RE","Reimbursements","(204 560)","0","0","0"
"2 017","EFOP","Enterprise Operating Fund","0140OCA","Municipal Radio OCA","4.13","WRR Municipal Radio Classical Music","TR","Transfers Out","73 220","0","0","0"
"2 017","GNFD","General Fund","0001OFS","Non-Departmental","2.46","Tax Increment Financing Districts Payments","QV","Contractual & Other Services","34 130 456","0","0","0"
"2 016","GNFD","General Fund","0001PNV","Planning and Urban Design GF","2.2799999999999998","Neighborhood Vitality","QM","Supplies & Materials","15 863","0","23 229,97","23 229,97"
"2 017","GNFD","General Fund","0001CCO","City Controller's Office GF","5.12","Cash and Debt Management","WB","Debt Svc-Interest On Bonds","54 500","0","9 500","9 500"
"2 017","GNFD","General Fund","0001ECO","Economic Development GF","2.4","Small Business Initiatives","RE","Reimbursements","(448 342)","0","0","0"
"2 017","GNFD","General Fund","0001STS","Street Services GF","2.56","Street Resurfacing","QV","Contractual & Other Services","19 040","0","51,46","51,46"
"2 016","GNFD","General Fund","0001DFD","Dallas Fire Rescue GF","1.0900000000000001","Fire and Rescue Emergency Response","PS","Personnel Services","166 222 787","0","171 681 331,69","171 681 331,69"
"2 016","GNFD","General Fund","0001CCS","Code Compliance GF","3.18","Neighborhood Nuisance Abatement","QM","Supplies & Materials","275 429","0","298 314,7","298 314,7"
"2 017","INSV","Internal Service Fund","0198DSV","Information Technology DSV","5.O","Public Safety Technology Support","TR","Transfers Out","104 969","0","0","0"
"2 016","GNFD","General Fund","0001PER","Human Resources GF","5.38","HRIS and HR Payroll Services","PS","Personnel Services","1 174 870","0","977 378,59","977 378,59"
"2 017","INSV","Internal Service Fund","0196EBS","Equipment Services EBS","5.E","City Fleet Maintenance and Repair Services","RC","Capital Outlay","54 990","0","0","0"
"2 017","GNFD","General Fund","RSVTRAN","Reserves & Transfers","5.22","Contingency Reserve","TR","Transfers Out","1 650 000","0","0","0"
"2 017","DSGO","General Obligation Debt Service","0981BMS","Debt Service BMS","8.8800000000000008","Debt Service","QV","Contractual & Other Services","13 495 664","0","0","0"
"2 016","GNFD","General Fund","0001STS","Street Services GF","2.4700000000000002","Traffic Operations Maintenance","PS","Personnel Services","3 611 984","0","3 128 804,02","3 128 804,02"
"2 017","GNFD","General Fund","0001PNV","Planning and Urban Design GF","2.2799999999999998","Neighborhood Vitality","TR","Transfers Out","100 000","0","0","0"
"2 017","GNFD","General Fund","0001PER","Human Resources GF","9.99","Department Support","RE","Reimbursements","(459 243)","0","0","0"
"2 017","GNFD","General Fund","0001BMS","Office of Financial Services GF","9.99","Department Support","RE","Reimbursements","(314 945)","0","(267 439,35)","(267 439,35)"
"2 017","INSV","Internal Service Fund","0199POM","Express Business Center POM","5.B","Business Services","TR","Transfers Out","38 003","0","0","0"
"2 017","EFOP","Enterprise Operating Fund","0061SDM","Storm Drainage Mgmt Operations","9.99","Department Support","QV","Contractual & Other Services","0","0","655,2","655,2"
"2 017","EFOP","Enterprise Operating Fund","0440SAN","Sanitation Operating Fund","3.05","City Facility Services","TR","Transfers Out","7 831","0","0","0"
"2 017","INSV","Internal Service Fund","0198DSV","Information Technology DSV","5.Q","Strategic Technology Management","TR","Transfers Out","355 981","0","0","0"
"2 017","GNFD","General Fund","0001ATT","City Attorney's Office GF","9.99","Department Support","RE","Reimbursements","(1 295 580)","0","0","0"
"2 016","GNFD","General Fund","0001DFD","Dallas Fire Rescue GF","1.1000000000000001","Fire Dispatch and Communications","QM","Supplies & Materials","106 813","0","206 329,02","206 329,02"
"2 017","INSV","Internal Service Fund","0196EBS","Equipment Services EBS","5.H","Environmental Services for City Fleet Operations","TR","Transfers Out","29 033","0","0","0"
"2 017","EFOP","Enterprise Operating Fund","0130AVI","Airport Operations AVI","2.21","Aviation Facilities - Dallas Executive Airport & Vertiport","RE","Reimbursements","(50 000)","0","0","0"
"2 017","GNFD","General Fund","0001CCO","City Controller's Office GF","5.32","Financial Reporting","RE","Reimbursements","(291 165)","0","0","0"
"2 017","INSV","Internal Service Fund","0196EBS","Equipment Services EBS","5.D","City Fleet Asset Management","RE","Reimbursements","(4 962 844)","0","0","0"
"2 016","GNFD","General Fund","0001DPD","Police Department GF","1.26","Police Investigation of Vice Related Crimes","QM","Supplies & Materials","72 416","0","31 684,8","31 684,8"
"2 017","GNFD","General Fund","0001CTS","Court and Detention Services GF","1.17","Municipal Court Services","RE","Reimbursements","(132 275)","0","0","0"
"2 017","GNFD","General Fund","0001IGS","Mgmt Services - Intergovernmental Services","5.41","Intergovernmental Services","RE","Reimbursements","(398 625)","0","0","0"
"2 017","GNFD","General Fund","0001ECO","Economic Development GF","2.11","Dallas Film Commission","RE","Reimbursements","(201 298)","0","0","0"
"2 017","GNFD","General Fund","0001OCA","Office of Cultural Affairs GF","9.99","Department Support","RE","Reimbursements","(398 003)","0","0","0"
"2 016","GNFD","General Fund","0001DPD","Police Department GF","1.29","Police Operational Support","QM","Supplies & Materials","492 764","0","675 798,8","675 798,8"
"2 017","GNFD","General Fund","RSVTRAN","Reserves & Transfers","5.44","Liability/Claims Fund Transfer","QV","Contractual & Other Services","4 282 542","0","0","0"
"2 016","GNFD","General Fund","0001CCS","Code Compliance GF","2.36","Regulation and Enforcement of For Hire Transportation","QM","Supplies & Materials","138 470","0","14 301,29","14 301,29"
"2 017","GNFD","General Fund","0001ECO","Economic Development GF","2.04","Business Development","RE","Reimbursements","(892 173)","0","0","0"
"2 017","INSV","Internal Service Fund","0196EBS","Equipment Services EBS","5.D","City Fleet Asset Management","TR","Transfers Out","85 338","0","0","0"
"2 017","INSV","Internal Service Fund","0198DSV","Information Technology DSV","5.C","Business Technology Services","TR","Transfers Out","314 590","0","0","0"
"2 016","GNFD","General Fund","0001CTJ","Judiciary GF","1.18","Municipal Judges/Cases Docketed","QM","Supplies & Materials","15 869","0","7 355,65","7 355,65"
"2 017","GNFD","General Fund","0001HOU","Housing GF","5.37","Housing Management/Contract Support","RE","Reimbursements","(131 353)","0","0","0"
"2 017","GNFD","General Fund","0001CCO","City Controller's Office GF","9.99","Department Support","RE","Reimbursements","(180 068)","0","0","0"
"2 017","EFOP","Enterprise Operating Fund","0100DWU","Water Utilities DWU","2.54","Water Utilities Capital Program Management","TR","Transfers Out","612 935","0","0","0"
"2 017","EFOP","Enterprise Operating Fund","0440SAN","Sanitation Operating Fund","3.04","Brush/Bulk Waste Removal Services","TR","Transfers Out","473 750","0","0","0"
"2 017","INSV","Internal Service Fund","0196EBS","Equipment Services EBS","5.E","City Fleet Maintenance and Repair Services","TR","Transfers Out","884 302","0","0","0"
"2 016","EFOP","Enterprise Operating Fund","0150DEV","Sustainable Dev and Construction - Enterprise","2.15","Engineering & Inspection Review for Private Development","QM","Supplies & Materials","12 982","0","66 976,01","66 976,01"
"2 017","GNFD","General Fund","0001DFD","Dallas Fire Rescue GF","1.1000000000000001","Fire Dispatch and Communications","RE","Reimbursements","(2 975 000)","0","0","0"
"2 017","EFOP","Enterprise Operating Fund","0100DWU","Water Utilities DWU","5.54","Water Planning, Financial and Rate Services","TR","Transfers Out","96 779","0","0","0"
"2 017","INSV","Internal Service Fund","0196EBS","Equipment Services EBS","5.I","Fuel Procurement and Management","RC","Capital Outlay","25 000","0","0","0"
"2 017","GNFD","General Fund","0001EAD","Mgmt Services - Ethics and Diversity","5.3","Ethics and Diversity","QM","Supplies & Materials","850","0","0","0"
"2 016","GNFD","General Fund","0001DFD","Dallas Fire Rescue GF","2.1800000000000002","Fire Inspection for New Construction","PS","Personnel Services","1 911 979","0","1 980 728,9","1 980 728,9"
"2 017","GNFD","General Fund","0001DFD","Dallas Fire Rescue GF","9.99","Department Support","RE","Reimbursements","(1 728 283)","0","0","0"
"2 016","GNFD","General Fund","0001DPD","Police Department GF",,"NONE","PS","Personnel Services","0","0","4 149,04","4 149,04"
"2 017","GNFD","General Fund","0001STS","Street Services GF","2.56","Street Resurfacing","RE","Reimbursements","(425 499)","0","0","0"
"2 017","OTHO","Other Operating Fund","0278PER","Employee Benefits Administration","5.J","HR Benefits Administration Services","TR","Transfers Out","30 699","0","0","0"
"2 017","EFOP","Enterprise Operating Fund","0150DEV","Sustainable Dev and Construction - Enterprise","2.08","Construction Plan Review and Permitting","TR","Transfers Out","1 266 708","0","0","0"
"2 016","GNFD","General Fund","0001STL","Street Lighting","2.42","Street Lighting","QM","Supplies & Materials","16 158 937","0","16 022 860,85","16 022 860,85"
"2 016","GNFD","General Fund","0001PKR","Park and Recreation GF","4.09","Park Land Maintained","PS","Personnel Services","17 936 426","0","17 868 584,2","17 868 584,2"
"2 016","INSV","Internal Service Fund","0198DSV","Information Technology DSV","5.K","Internal Computer Support","QM","Supplies & Materials","226 252","0","180 777,93","180 777,93"
"2 017","GNFD","General Fund","0001CTJ","Judiciary GF","1.03","Civil Adjudication Court","QM","Supplies & Materials","1 120","0","0","0"
"2 017","GNFD","General Fund","0001STS","Street Services GF","9.99","Department Support","RE","Reimbursements","(1 738 858)","0","0","0"
"2 017","GNFD","General Fund","0001CTJ","Judiciary GF","1.05","Court Security","RE","Reimbursements","(274 168)","0","0","0"
"2 017","EFOP","Enterprise Operating Fund","0100DWU","Water Utilities DWU","3.24","Wastewater Collection","RE","Reimbursements","(1 434 529)","0","0","0"
"2 016","GNFD","General Fund","0001CCS","Code Compliance GF","2.36","Regulation and Enforcement of For Hire Transportation","QV","Contractual & Other Services","437 019","0","457 362,68","457 362,68"
"2 016","GNFD","General Fund","0001DEV","Sustainable Dev and Construction GF","2.35","Real Estate and Relocation","RE","Reimbursements","(1 975 366)","0","(2 435 657,22)","(2 435 657,22)"
"2 016","EFOP","Enterprise Operating Fund","0440SAN","Sanitation Operating Fund","3.05","City Facility Services","QM","Supplies & Materials","4 814","0","10 743,17","10 743,17"
"2 017","EFOP","Enterprise Operating Fund","0100DWU","Water Utilities DWU","9.99","Department Support","RE","Reimbursements","(4 064 829)","0","0","0"
"2 017","EFOP","Enterprise Operating Fund","0100DWU","Water Utilities DWU","2.5299999999999998","Water Production and Delivery","TR","Transfers Out","2 350 353","0","0","0"
"2 017","GNFD","General Fund","0001POM","Business Development & Procurement GF","5.1100000000000003","Business Inclusion & Development Compliance Monitoring","QM","Supplies & Materials","32 542","0","0","0"
"2 017","GNFD","General Fund","0001PER","Human Resources GF","5.39","Human Resource Consulting","RE","Reimbursements","(317 686)","0","0","0"
"2 017","GNFD","General Fund","0001PKR","Park and Recreation GF","4.05","Leisure Venue Management","PS","Personnel Services","231 360","0","14 054,86","14 054,86"
"2 017","EFOP","Enterprise Operating Fund","0150DEV","Sustainable Dev and Construction - Enterprise","2.34","Private Development Survey","QM","Supplies & Materials","6 535","0","0","0"
"2 016","GNFD","General Fund","0001STS","Street Services GF","2.42","Street Lighting","QM","Supplies & Materials","0","0","4 365,1","4 365,1"
"2 016","GNFD","General Fund","0001CCO","City Controller's Office GF","9.99","Department Support","QV","Contractual & Other Services","0","0","27 727,33","27 727,33"
"2 016","GNFD","General Fund","0001STS","Street Services GF","2.39","Service Maintenance Areas","PS","Personnel Services","11 054 875","0","10 654 806,56","10 654 806,56"
"2 017","EFOP","Enterprise Operating Fund","0150DEV","Sustainable Dev and Construction - Enterprise","2.08","Construction Plan Review and Permitting","RC","Capital Outlay","50 000","0","0","0"
"2 017","GNFD","General Fund","0001CMO","City Manager's Office GF","5.14","City Administration","RE","Reimbursements","(597 607)","0","0","0"
"2 017","INSV","Internal Service Fund","0198DSV","Information Technology DSV","5.K","Internal Computer Support","TR","Transfers Out","466 634","0","0","0"
"2 017","GNFD","General Fund","0001STS","Street Services GF","2.39","Service Maintenance Areas","RC","Capital Outlay","0","0","0","0"
"2 017","GNFD","General Fund","0001CCS","Code Compliance GF","9.99","Department Support","RE","Reimbursements","(942 185)","0","0","0"
"2 016","GNFD","General Fund","0001CTS","Court and Detention Services GF","1.17","Municipal Court Services","RE","Reimbursements","(30 784)","0","(68 023,18)","(68 023,18)"
"2 017","EFOP","Enterprise Operating Fund","0100DWU","Water Utilities DWU","3.24","Wastewater Collection","TR","Transfers Out","894 056","0","0","0"
