"BUDGET FISCAL YEAR","FTYP","FUNDTYPE","APPR","APPROPRIATION","Service Number","SERVICE","OBJECTGROUP","EXPENDITURE CLASSIFICATION","CURRENT BUDGET","ENCUMBRANCE","EXPENSES","ENCUMB&EXPENSE"
"2 016","GNFD","General Fund","0001PBW","Public Works GF","9.99","Department Support","QV","Contractual & Other Services","23 215","21 417,94","93 342,75","114 760,69"
"2 017","GNFD","General Fund","0001PKR","Park and Recreation GF","4.04","Golf and Tennis Centers","QV","Contractual & Other Services","925 935","21 478,74","207 746,64","229 225,38"
"2 017","OTHO","Other Operating Fund","0195ORM","Office of Risk Management","5.P","Risk Management Services","QV","Contractual & Other Services","276 712","22 778,56","133 952,65","156 731,21"
"2 017","EFOP","Enterprise Operating Fund","0100DWU","Water Utilities DWU","5.53","Vital Statistics","QM","Supplies & Materials","84 219","22 989,75","17 902,17","40 891,92"
"2 017","GNFD","General Fund","0001CCS","Code Compliance GF","3.18","Neighborhood Nuisance Abatement","QM","Supplies & Materials","278 621","23 433,16","139 923,25","163 356,41"
"2 017","GNFD","General Fund","0001PER","Human Resources GF","5.39","Human Resource Consulting","QV","Contractual & Other Services","1 063 161","23 797,58","298 090,4","321 887,98"
"2 016","INSV","Internal Service Fund","0196EBS","Equipment Services EBS","9.99","Department Support","QV","Contractual & Other Services","54 571","24 082,04","248 486,76","272 568,8"
"2 017","INSV","Internal Service Fund","0196EBS","Equipment Services EBS","5.I","Fuel Procurement and Management","QV","Contractual & Other Services","1 340 502","24 210,34","526 579,86","550 790,2"
"2 017","GNFD","General Fund","0001ATT","City Attorney's Office GF","9.99","Department Support","QV","Contractual & Other Services","0","24 903,28","28 010,31","52 913,59"
"2 016","GNFD","General Fund","0001STS","Street Services GF","2.44","Street Repair Division - Concrete","QM","Supplies & Materials","5 058 453","24 952,32","4 098 892,14","4 123 844,46"
"2 016","EFOP","Enterprise Operating Fund","0130AVI","Airport Operations AVI","2.12","Dallas Love Field","QM","Supplies & Materials","7 302 122","25 179,96","8 970 258,22","8 995 438,18"
"2 017","GNFD","General Fund","0001DPD","Police Department GF","1.31","Police Special Operations","QM","Supplies & Materials","1 291 885","25 538,8","417 382,42","442 921,22"
"2 017","GNFD","General Fund","0001DPD","Police Department GF","1.23","Police Criminal Investigations","QM","Supplies & Materials","522 269","26 834,8","232 404,3","259 239,1"
"2 017","GNFD","General Fund","0001DPD","Police Department GF","9.99","Department Support","QM","Supplies & Materials","65 574","27 286,02","185 069,42","212 355,44"
"2 017","GNFD","General Fund","0001PKR","Park and Recreation GF","4.05","Leisure Venue Management","QM","Supplies & Materials","835 716","27 476,42","501 868,42","529 344,84"
"2 017","GNFD","General Fund","0001CCS","Code Compliance GF","3.1","Consumer Health","QM","Supplies & Materials","150 108","28 255,3","33 370,02","61 625,32"
"2 016","GNFD","General Fund","0001BMS","Office of Financial Services GF","5.52","Utility Management","QV","Contractual & Other Services","213 203","28 781,1","102 018,35","130 799,45"
"2 017","GNFD","General Fund","0001TWM","Trinity Watershed Management GF","2.4900000000000002","Trinity River Corridor Operations","QM","Supplies & Materials","34 551","29 063,56","18 612,91","47 676,47"
"2 016","GNFD","General Fund","0001DPD","Police Department GF","1.21","Police Administrative Support","QV","Contractual & Other Services","19 216 358","29 452,21","21 266 946,26","21 296 398,47"
"2 017","EFOP","Enterprise Operating Fund","0100DWU","Water Utilities DWU","5.55","Water Utilities Customer Account Services","RC","Capital Outlay","72 435","29 813,62","330 053,49","359 867,11"
"2 017","EFOP","Enterprise Operating Fund","0150DEV","Sustainable Dev and Construction - Enterprise","2.15","Engineering & Inspection Review for Private Development","QV","Contractual & Other Services","441 061","29 897,91","66 751,28","96 649,19"
"2 017","EFOP","Enterprise Operating Fund","0080CCT","Convention Center CCT","2.5","Union Station","QV","Contractual & Other Services","390 049","30 032,77","213 660,51","243 693,28"
"2 016","GNFD","General Fund","0001CVS","Civil Service GF","5.04","Analysis/Development and Validation","QV","Contractual & Other Services","269 700","32 132,97","100 103,8","132 236,77"
